model,batch_mode,bifurcation,shift_sigma,seed,decipher_seed,arm,rho,rho_plus,rho_minus,branch_asw,r2_overall,r2_per_gene_median,trained_h5ad,error,seconds
native,genes,bif,7.5,4,1,Base Decipher (genes),0.4477519258003119,0.23404568979487195,0.33275556852084237,0.00033907362376339734,0.7377506667481963,0.8480662692068657,/home/jihyunpark/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0918/trained/sweep0918_sigma7.5_seed4_native_bif_genes.h5ad,,137.1
native,genes,bif,2.0,5,1,Base Decipher (genes),0.5881765142545763,0.41301482798665257,0.5762901201699528,0.006672247312963009,0.7039279726853964,0.6451763306319789,/home/jihyunpark/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0918/trained/sweep0918_sigma2.0_seed5_native_bif_genes.h5ad,,184.6
native,genes,bif,5.0,5,1,Base Decipher (genes),0.16976801147363832,0.16604057835194244,0.07277802165958551,0.0003973304992541671,0.7498148328420988,0.8139584365742243,/home/jihyunpark/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0918/trained/sweep0918_sigma5.0_seed5_native_bif_genes.h5ad,,182.1
native,genes,bif,10.0,4,1,Base Decipher (genes),0.11256510970448982,0.06665258444593392,0.19713588134435586,0.0005079145194031298,0.7183399919971196,0.8756091105613443,/home/jihyunpark/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0918/trained/sweep0918_sigma10.0_seed4_native_bif_genes.h5ad,,157.8
native,genes,bif,7.5,3,1,Base Decipher (genes),0.4508016056129132,0.2518916654266248,0.3675406864211145,0.0012998237507417798,0.7274927023422462,0.7440075746311192,/home/jihyunpark/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0918/trained/sweep0918_sigma7.5_seed3_native_bif_genes.h5ad,,185.9
native,genes,bif,7.5,5,1,Base Decipher (genes),0.3096827043720675,0.17252657261357607,0.23597556711203252,0.00031124756787903607,0.7580061823402712,0.8686665274206118,/home/jihyunpark/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0918/trained/sweep0918_sigma7.5_seed5_native_bif_genes.h5ad,,192.6
native,genes,bif,10.0,3,1,Base Decipher (genes),0.5782266519891942,0.6941540075726358,0.4436928521978456,0.0007643612334504724,0.727721962529396,0.7959822510139218,/home/jihyunpark/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0918/trained/sweep0918_sigma10.0_seed3_native_bif_genes.h5ad,,191.7
native,genes,bif,10.0,5,1,Base Decipher (genes),0.35615949282061193,0.3240108902187623,0.24374274033683985,0.0008067349554039538,0.7576400724114738,0.8900809514052221,/home/jihyunpark/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0918/trained/sweep0918_sigma10.0_seed5_native_bif_genes.h5ad,,179.6
native,genes,bif,5.0,3,1,Base Decipher (genes),0.5991460021131828,0.2119893688469249,0.5492746719826513,0.00023741525365039706,0.7107299544031995,0.6606360588869302,/home/jihyunpark/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0918/trained/sweep0918_sigma5.0_seed3_native_bif_genes.h5ad,,255.4
native,genes,nobif,0.1,3,1,Base Decipher (genes),0.9929935239584913,,,,0.8934343029495619,0.7528312362418403,/home/jihyunpark/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0918/trained/sweep0918_sigma0.1_seed3_native_nobif_genes.h5ad,,166.3
