model,batch_mode,bifurcation,shift_sigma,seed,decipher_seed,arm,wandb_run_id,wandb_url,rho,rho_plus,rho_minus,branch_asw,r2_overall,r2_per_gene_median,trained_h5ad,error,seconds
native,z,bif,0.1,4,1,Base Decipher (z),ivoqo53t,https://wandb.ai/jpark-columbia/decipher-bc-sigma-sweep/runs/ivoqo53t,0.9735171342689456,0.9694086625501184,0.9679174995077126,0.4339907169342041,0.8909014066139987,0.7910589800325581,/home/jihyunpark/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0918/trained/sweep0918_ds3_sigma0.1_seed4_native_bif_z_decipherseed_1.h5ad,,1141.6
native,z,bif,5.0,5,1,Base Decipher (z),,,0.6379105593274904,0.7019112480262287,0.5070282891835038,0.0167312417179346,0.9592812466089782,0.9400821710138234,/home/jihyunpark/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0918/trained/sweep0918_ds3_sigma5.0_seed5_native_bif_z_decipherseed_1.h5ad,,234.6
native,z,bif,7.5,3,1,Base Decipher (z),,,0.783857636734579,0.6720332350324231,0.7067345170599932,0.0195311903953552,0.9619216309445224,0.9482368719362622,/home/jihyunpark/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0918/trained/sweep0918_ds3_sigma7.5_seed3_native_bif_z_decipherseed_1.h5ad,,212.8
native,z,bif,7.5,3,2,Base Decipher (z),,,0.8119048462125344,0.860761096169263,0.5814012523409315,0.0346134379506111,0.9627977187102628,0.9499707585121188,/home/jihyunpark/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0918/trained/sweep0918_ds3_sigma7.5_seed3_native_bif_z_decipherseed_2.h5ad,,221.1
native,z,bif,5.0,5,3,Base Decipher (z),,,0.7914049762520287,0.7523479455845388,0.5881724618345701,0.0127740316092967,0.9590213020833442,0.9381801862356368,/home/jihyunpark/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0918/trained/sweep0918_ds3_sigma5.0_seed5_native_bif_z_decipherseed_3.h5ad,,235.0
native,z,bif,7.5,5,1,Base Decipher (z),fs0f9h8f,https://wandb.ai/jpark-columbia/decipher-bc-sigma-sweep/runs/fs0f9h8f,0.7157874677052903,0.5354475709573762,0.6376310213828403,0.0061108595691621,0.96368477809605,0.9533361345936516,/home/jihyunpark/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0918/trained/sweep0918_ds3_sigma7.5_seed5_native_bif_z_decipherseed_1.h5ad,,224.0
native,z,bif,7.5,4,3,Base Decipher (z),ogyctl1r,https://wandb.ai/jpark-columbia/decipher-bc-sigma-sweep/runs/ogyctl1r,0.7061425228152575,0.5689775835135038,0.6537032474329525,0.0421255864202976,0.9687038059424492,0.9515670821946168,/home/jihyunpark/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0918/trained/sweep0918_ds3_sigma7.5_seed4_native_bif_z_decipherseed_3.h5ad,,252.9
native,z,bif,7.5,4,2,Base Decipher (z),9wyjezum,https://wandb.ai/jpark-columbia/decipher-bc-sigma-sweep/runs/9wyjezum,0.7532653807918674,0.4086246816965827,0.7245667909204728,0.0376373380422592,0.968712286466662,0.951637074170112,/home/jihyunpark/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0918/trained/sweep0918_ds3_sigma7.5_seed4_native_bif_z_decipherseed_2.h5ad,,248.9
native,z,bif,7.5,5,3,Base Decipher (z),,,0.5653411076417721,0.4091334031020404,0.4136260351286964,0.005068183876574,0.9636556391994436,0.9529759343555252,/home/jihyunpark/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0918/trained/sweep0918_ds3_sigma7.5_seed5_native_bif_z_decipherseed_3.h5ad,,187.9
native,z,bif,10.0,3,1,Base Decipher (z),prfc7zra,https://wandb.ai/jpark-columbia/decipher-bc-sigma-sweep/runs/prfc7zra,0.68260417616203,0.7294006595466707,0.4621190297130418,0.0186629146337509,0.9647996553051398,0.9525454966309046,/home/jihyunpark/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0918/trained/sweep0918_ds3_sigma10.0_seed3_native_bif_z_decipherseed_1.h5ad,,242.8
native,z,bif,7.5,3,3,Base Decipher (z),lzfudqw4,https://wandb.ai/jpark-columbia/decipher-bc-sigma-sweep/runs/lzfudqw4,0.7947466822406867,0.7244886993662615,0.6197827439060335,0.0105989277362823,0.9626475220728888,0.9484485975014164,/home/jihyunpark/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0918/trained/sweep0918_ds3_sigma7.5_seed3_native_bif_z_decipherseed_3.h5ad,,419.4
native,z,nobif,0.1,3,2,Base Decipher (z),ikunm7kn,https://wandb.ai/jpark-columbia/decipher-bc-sigma-sweep/runs/ikunm7kn,0.9910969766728772,,,,0.9066498995378516,0.7790792538846858,/home/jihyunpark/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0918/trained/sweep0918_ds3_sigma0.1_seed3_native_nobif_z_decipherseed_2.h5ad,,176.0
native,z,bif,10.0,3,2,Base Decipher (z),,,0.7954896248162908,0.7656481468059297,0.6643585235747629,0.0181069262325763,0.9661921455014596,0.9573705610942642,/home/jihyunpark/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0918/trained/sweep0918_ds3_sigma10.0_seed3_native_bif_z_decipherseed_2.h5ad,,232.7
native,z,bif,10.0,4,2,Base Decipher (z),,,0.6701558537239967,0.4392192957209072,0.4411551265300867,0.0227639060467481,0.9708904004995166,0.958167818631288,/home/jihyunpark/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0918/trained/sweep0918_ds3_sigma10.0_seed4_native_bif_z_decipherseed_2.h5ad,,194.2
native,z,bif,10.0,5,1,Base Decipher (z),,,0.6344850858842013,0.243506984362282,0.5608868496953717,0.0071213715709745,0.9649067754472492,0.9596420745817734,/home/jihyunpark/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0918/trained/sweep0918_ds3_sigma10.0_seed5_native_bif_z_decipherseed_1.h5ad,,193.6
native,z,bif,10.0,4,3,Base Decipher (z),,,0.7272956178586168,0.5856675622509827,0.7045178169034582,0.025974553078413,0.9696093772173752,0.9579172845731656,/home/jihyunpark/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0918/trained/sweep0918_ds3_sigma10.0_seed4_native_bif_z_decipherseed_3.h5ad,,221.2
native,z,bif,10.0,4,1,Base Decipher (z),,,0.7262932861728263,0.452833778977003,0.8009316035461985,0.0296442471444606,0.9699952669876344,0.9582739851275076,/home/jihyunpark/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0918/trained/sweep0918_ds3_sigma10.0_seed4_native_bif_z_decipherseed_1.h5ad,,218.6
native,z,nobif,0.1,3,1,Base Decipher (z),,,0.9856941307649904,,,,0.9145825650941406,0.788727926519887,/home/jihyunpark/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0918/trained/sweep0918_ds3_sigma0.1_seed3_native_nobif_z_decipherseed_1.h5ad,,232.1
native,z,nobif,0.1,4,1,Base Decipher (z),,,0.9728722660237988,,,,0.8349793600088047,0.6482903863249019,/home/jihyunpark/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0918/trained/sweep0918_ds3_sigma0.1_seed4_native_nobif_z_decipherseed_1.h5ad,,159.1
