,cell_id,group
597,aafjhfjb-1,tumor
598,aafjhohb-1,fibroblast
600,aafkeicf-1,tumor
601,aafkgkmi-1,tumor
603,aaflgjdo-1,tumor
604,aaflhejf-1,tumor
606,aafmbahl-1,tumor
607,aafmedgj-1,tumor
608,aafmedmj-1,endothelial
609,aafmejmd-1,tumor
611,aafmojan-1,CD4 N/CM
612,aafmopjb-1,tumor
613,aafnbjaa-1,tumor
614,aafnhnbd-1,tumor
615,aafnkejb-1,tumor
616,aafnlfdk-1,tumor
617,aafnllbp-1,tumor
618,aafnnole-1,tumor
619,aafoegga-1,tumor
620,aafohceh-1,tumor
621,aafohedd-1,tumor
622,aafoicim-1,mixed_APC
623,aafolnpa-1,tumor
624,aafooneg-1,tumor
625,aafpdkna-1,endothelial
626,aafpdofp-1,tumor
627,aafpfnpn-1,tumor
628,aafpghio-1,tumor
629,aafplnel-1,tumor
630,aagacegb-1,tumor
631,aagacjpa-1,tumor
632,aagadkck-1,fibroblast
633,aagahbac-1,tumor
634,aagajkoj-1,endothelial
635,aagakmln-1,tumor
636,aagalakh-1,tumor
638,aagalnnb-1,tumor
639,aagamofk-1,tumor
640,aagbcjkl-1,endothelial
641,aagbcmeb-1,CD4 EM
642,aagbembo-1,tumor
645,aagbneia-1,fibroblast
646,aagbohej-1,endothelial
647,aagbpbnc-1,fibroblast
648,aagcbkhh-1,tumor
650,aagcdclp-1,macrophage
651,aagceife-1,CD4 N/CM
652,aagcgalc-1,tumor
653,aagchcip-1,fibroblast
654,aagchnhf-1,tumor
655,aagcofba-1,fibroblast
656,aagdaaia-1,tumor
657,aagdacme-1,tumor
658,aagdcpcd-1,tumor
659,aagdfnmc-1,tumor
660,aagdgbna-1,tumor
661,aagdhigd-1,tumor
662,aagdkhlc-1,tumor
663,aageaiph-1,tumor
664,aagebeco-1,endothelial
665,aageemlb-1,tumor
666,aagegdfb-1,tumor
667,aagejjhf-1,tumor
668,aagelplk-1,tumor
669,aageojoa-1,tumor
670,aagfbafj-1,tumor
671,aagfekib-1,CD4 N/CM
672,aagffhfd-1,tumor
673,aagfhenc-1,tumor
674,aagfnojc-1,fibroblast
676,aaggaedi-1,tumor
677,aagganme-1,tumor
678,aaggbfja-1,tumor
679,aaggbpdp-1,tumor
680,mdpmglle-1,tumor
681,aaggfmoa-1,tumor
682,aaggjbmi-1,endothelial
683,aaggkljb-1,tumor
684,aaggliin-1,tumor
686,aaggpdcg-1,fibroblast
687,aaghefmk-1,tumor
688,aaghhlob-1,tumor
689,aaghipld-1,tumor
690,aaghmgne-1,tumor
692,aagidpgp-1,tumor
693,aagikaep-1,tumor
694,aagilnpn-1,endothelial
695,aagioobm-1,endothelial
696,aagipojf-1,tumor
697,aagjbehh-1,tumor
698,aagjcoec-1,mixed_immune
699,aagjdobf-1,tumor
700,aagjmopf-1,tumor
701,aagjnamg-1,tumor
702,aagjnolg-1,tumor
703,aagjoded-1,tumor
705,aagkhmon-1,tumor
708,aagklpon-1,fibroblast
709,aagknhie-1,tumor
710,aaglcngd-1,tumor
711,aaglcoda-1,endothelial
712,aaglifia-1,tumor
713,aagljhbp-1,fibroblast
714,aaglmgmp-1,tumor
717,aagmdpnk-1,tumor
718,aagmkpoh-1,tumor
719,aagnaopk-1,tumor
720,aagnjjah-1,endothelial
723,aagoiaon-1,mixed_immune
724,aagpcpik-1,tumor
725,aagpdogn-1,tumor
726,aahaaldh-1,tumor
727,aahabebf-1,tumor
728,aahabjbm-1,macrophage
729,aahachfj-1,tumor
731,aahaijcc-1,tumor
732,aahalaei-1,tumor
733,aahambej-1,tumor
734,aahamgca-1,fibroblast
735,aahanbbp-1,tumor
736,aahbbmfl-1,endothelial
737,aahbcdjh-1,tumor
738,aahbgeha-1,tumor
739,aahbjnag-1,tumor
740,aahbmlda-1,tumor
741,aahcgaae-1,tumor
742,aahchkoc-1,plasma b
743,aahcjhco-1,monocyte
744,aahcllbm-1,tumor
745,aahcnemi-1,tumor
747,aahdcago-1,fibroblast
748,aahddbkm-1,mixed_immune
749,aahdjdjd-1,tumor
